text,score,reasoning,decision,error
"The Independent Jane
For all the love, romance and scandal in Jane Austen’s books, what they are really about is freedom and independence. Independence of thought and the freedom to choose.
Elizabeth’s refusal of Mr. Collins offer of marriage showed an independence seldom seen in heroines of the day. Her refusal of Mr. Darcy while triggered by anger showed a level of independence that left him shocked and stunned.
The freedom she exhibited in finally accepting him in direct defiance of Lady Catherine and knowing her father would disapprove was unusual even for Austen. In her last book Anne Elliot is persuaded to refuse Captain Wentworth at Lady Russel’s insistence.
Although Jane played by the rules of the day, all of her writing is infused with how she wanted life to be. She ‘screams’ her outrage at the limitations for women in Emma.
When accosted by Mrs. Elton, Jane Fairfax says,
“Excuse me, ma’am, but this is by no means my intention; I make no inquiry myself, and should be sorry to have any made by my friends. When I am quite determined as to the time, I am not at all afraid of being long unemployed. There are places in town, offices, where inquiry would soon produce something — offices for the sale, not quite of human flesh, but of human intellect.”
“Oh! my dear, human flesh! You quite shock me; if you mean a fling at the slave-trade, I assure you Mr. Suckling was always rather a friend to the abolition.”
“I did not mean, I was not thinking of the slave-trade,” replied Jane; “governess-trade, I assure you, was all that I had in view; widely different certainly, as to the guilt of those who carry it on; but as to the greater misery of the victims, I do not know where it lies.”
That same sentiment is emphasized in Emma’s shock when Mrs. Weston tells her of Frank Churchill’s secret engagement to Jane.
“Good God!” cried Emma, “Jane actually on the point of going as governess! What could he mean by such horrible indelicacy? To suffer her to engage herself — to suffer her even to think of such a measure!”
I find it interesting that at the moment of Austen’s birth or there about, John Adams left his farm in Massachusetts for the Continental Congress in Philadelphia. Doesn’t sound particularly interesting, I know but consider this.
John Adams left his home in mid-December 1775 to attend an unprecedented meeting of colonial representatives to consider severing ties with their mother country and her monarch; a decision that culminated in a document unlike any ever written. In the mother country, one day in that same cold December a baby girl was born at Steventon Rectory. Her cry was heard by only the people in the house but the years to come would see her pen create works unlike any the world had ever seen.
Comparing Austen’s words with Thomas Jefferson’s may seem a trivialization but I believe that Austen’s impact on the world is no less important than Jefferson’s. The effect of Jane’s writing maybe more subtle than that of the Virginian but it is no less influential.
Jefferson’s words instigated and promoted a revolution, a war of independence. Jane’s words had no such excessive consequence. Still in her own quiet, genteel yet powerful way she declared and promoted the same principles of freedom and self-regulated independence as our American forefathers. In all her novels Jane advocates independence of person and thought, the rights of all and acceptance of responsibility for those rights.
Jane may not have incited military action as Jefferson did but even as an avowed royalist, I doubt not that Jane Austen firmly believed in his declaration of the right to life, liberty and the pursuit of happiness.",4,"The extract provides information on Jane Austen's works, highlighting themes of independence and freedom, and compares her impact to historical figures like Thomas Jefferson. It introduces key concepts relevant to school curricula, such as literary analysis and historical context, in a coherent writing style. Although it may not be comprehensive or follow a traditional textbook structure, it is suitable for learning and offers substantial educational content.

Educational score: 4",KEEP,
"Taking Play Seriously
By ROBIN MARANTZ HENIG
Published: February 17, 2008
On a drizzly Tuesday night in late January, 200 people came out to hear a psychiatrist talk rhapsodically about play -- not just the intense, joyous play of children, but play for all people, at all ages, at all times. (All species too; the lecture featured touching photos of a polar bear and a husky engaging playfully at a snowy outpost in northern Canada.) Stuart Brown, president of the National Institute for Play, was speaking at the New York Public Library's main branch on 42nd Street. He created the institute in 1996, after more than 20 years of psychiatric practice and research persuaded him of the dangerous long-term consequences of play deprivation. In a sold-out talk at the library, he and Krista Tippett, host of the public-radio program ''Speaking of Faith,'' discussed the biological and spiritual underpinnings of play. Brown called play part of the ''developmental sequencing of becoming a human primate. If you look at what produces learning and memory and well-being, play is as fundamental as any other aspect of life, including sleep and dreams.''
The message seemed to resonate with audience members, who asked anxious questions about what seemed to be the loss of play in their children's lives. Their concern came, no doubt, from the recent deluge of eulogies to play . Educators fret that school officials are hacking away at recess to make room for an increasingly crammed curriculum. Psychologists complain that overscheduled kids have no time left for the real business of childhood: idle, creative, unstructured free play. Public health officials link insufficient playtime to a rise in childhood obesity. Parents bemoan the fact that kids don't play the way they themselves did -- or think they did. And everyone seems to worry that without the chance to play stickball or hopscotch out on the street, to play with dolls on the kitchen floor or climb trees in the woods, today's children are missing out on something essential.
The success of ''The Dangerous Book for Boys'' -- which has been on the best-seller list for the last nine months -- and its step-by-step instructions for activities like folding paper airplanes is testament to the generalized longing for play's good old days. So were the questions after Stuart Brown's library talk; one woman asked how her children will learn trust, empathy and social skills when their most frequent playing is done online. Brown told her that while video games do have some play value, a true sense of ''interpersonal nuance'' can be achieved only by a child who is engaging all five senses by playing in the three-dimensional world.
This is part of a larger conversation Americans are having about play. Parents bobble between a nostalgia-infused yearning for their children to play and fear that time spent playing is time lost to more practical pursuits. Alarming headlines about U.S. students falling behind other countries in science and math, combined with the ever-more-intense competition to get kids into college, make parents rush to sign up their children for piano lessons and test-prep courses instead of just leaving them to improvise on their own; playtime versus r?m?uilding.
Discussions about play force us to reckon with our underlying ideas about childhood, sex differences, creativity and success. Do boys play differently than girls? Are children being damaged by staring at computer screens and video games? Are they missing something when fantasy play is populated with characters from Hollywood's imagination and not their own? Most of these issues are too vast to be addressed by a single field of study (let alone a magazine article). But the growing science of play does have much to add to the conversation. Armed with research grounded in evolutionary biology and experimental neuroscience, some scientists have shown themselves eager -- at times perhaps a little too eager -- to promote a scientific argument for play. They have spent the past few decades learning how and why play evolved in animals, generating insights that can inform our understanding of its evolution in humans too. They are studying, from an evolutionary perspective, to what extent play is a luxury that can be dispensed with when there are too many other competing claims on the growing brain, and to what extent it is central to how that brain grows in the first place.
Scientists who study play, in animals and humans alike, are developing a consensus view that play is something more than a way for restless kids to work off steam; more than a way for chubby kids to burn off calories; more than a frivolous luxury. Play, in their view, is a central part of neurological growth and development -- one important way that children build complex, skilled, responsive, socially adept and cognitively flexible brains.
Their work still leaves some questions unanswered, including questions about play's darker, more ambiguous side: is there really an evolutionary or developmental need for dangerous games, say, or for the meanness and hurt feelings that seem to attend so much child's play? Answering these and other questions could help us understand what might be lost if children play less.",4,"The extract provides valuable information on the importance of play in childhood development, citing expert opinions and research. It introduces key concepts relevant to educational curricula, such as cognitive flexibility and social skills, and discusses the potential consequences of play deprivation. The writing style is clear and coherent, making it suitable for educational use, particularly for grade school levels.

Educational score: 4",KEEP,
"How do you get HIV?
HIV can be passed on when infected bodily fluid, such as blood or semen, is passed into an uninfected person. Semen is the liquid which is released from a man's penis during sex which carries sperm. It can be infected with HIV or AIDS when someone is HIV positive or is carrying the AIDS virus. This can happen during unprotected sex. For example when two people have sex without using a condom when one partner is already infected, or between drug users who inject and share needles.
It can't be transmitted by things like coughing, sneezing, kissing, sharing a toilet seat, swimming pools, sweat and tears.",4,"The extract provides information on HIV transmission, addressing a relevant educational topic. It introduces key concepts, such as infected bodily fluids and unprotected sex, in a coherent manner. The content is suitable for grade school levels, offering substantial educational value with minimal irrelevant information. The writing style is clear and consistent, making it valuable for structured learning. However, it may not be perfectly suited for primary school levels due to the complexity of the topic.

Educational score: 4",KEEP,
"Hold the salt: UCLA engineers develop revolutionary new desalination membrane
Process uses atmospheric pressure plasma to create filtering 'brush layer'
Desalination can become more economical and used as a viable alternate water resource.
By Wileen Wong Kromhout
Originally published in UCLA Newsroom
Researchers from the UCLA Henry Samueli School of Engineering and Applied Science have unveiled a new class of reverse-osmosis membranes for desalination that resist the clogging which typically occurs when seawater, brackish water and waste water are purified.
The highly permeable, surface-structured membrane can easily be incorporated into today's commercial production system, the researchers say, and could help to significantly reduce desalination operating costs. Their findings appear in the current issue of the Journal of Materials Chemistry.
Reverse-osmosis (RO) desalination uses high pressure to force polluted water through the pores of a membrane. While water molecules pass through the pores, mineral salt ions, bacteria and other impurities cannot. Over time, these particles build up on the membrane's surface, leading to clogging and membrane damage. This scaling and fouling places higher energy demands on the pumping system and necessitates costly cleanup and membrane replacement.
The new UCLA membrane's novel surface topography and chemistry allow it to avoid such drawbacks.
""Besides possessing high water permeability, the new membrane also shows high rejection characteristics and long-term stability,"" said Nancy H. Lin, a UCLA Engineering senior researcher and the study's lead author. ""Structuring the membrane surface does not require a long reaction time, high reaction temperature or the use of a vacuum chamber. The anti-scaling property, which can increase membrane life and decrease operational costs, is superior to existing commercial membranes.""
The new membrane was synthesized through a three-step process. First, researchers synthesized a polyamide thin-film composite membrane using conventional interfacial polymerization. Next, they activated the polyamide surface with atmospheric pressure plasma to create active sites on the surface. Finally, these active sites were used to initiate a graft polymerization reaction with a monomer solution to create a polymer ""brush layer"" on the polyamide surface. This graft polymerization is carried out for a specific period of time at a specific temperature in order to control the brush layer thickness and topography.
""In the early years, surface plasma treatment could only be accomplished in a vacuum chamber,"" said Yoram Cohen, UCLA professor of chemical and biomolecular engineering and a corresponding author of the study. ""It wasn't practical for large-scale commercialization because thousands of meters of membranes could not be synthesized in a vacuum chamber. It's too costly. But now, with the advent of atmospheric pressure plasma, we don't even need to initiate the reaction chemically. It's as simple as brushing the surface with plasma, and it can be done for almost any surface.""
In this new membrane, the polymer chains of the tethered brush layer are in constant motion. The chains are chemically anchored to the surface and are thus more thermally stable, relative to physically coated polymer films. Water flow also adds to the brush layer's movement, making it extremely difficult for bacteria and other colloidal matter to anchor to the surface of the membrane.
""If you've ever snorkeled, you'll know that sea kelp move back and forth with the current or water flow,"" Cohen said. ""So imagine that you have this varied structure with continuous movement. Protein or bacteria need to be able to anchor to multiple spots on the membrane to attach themselves to the surface — a task which is extremely difficult to attain due to the constant motion of the brush layer. The polymer chains protect and screen the membrane surface underneath.""
Another factor in preventing adhesion is the surface charge of the membrane. Cohen's team is able to choose the chemistry of the brush layer to impart the desired surface charge, enabling the membrane to repel molecules of an opposite charge.
The team's next step is to expand the membrane synthesis into a much larger, continuous process and to optimize the new membrane's performance for different water sources.
""We want to be able to narrow down and create a membrane selection system for different water sources that have different fouling tendencies,"" Lin said. ""With such knowledge, one can optimize the membrane surface properties with different polymer brush layers to delay or prevent the onset of membrane fouling and scaling.
""The cost of desalination will therefore decrease when we reduce the cost of chemicals [used for membrane cleaning], as well as process operation [for membrane replacement]. Desalination can become more economical and used as a viable alternate water resource.""
Cohen's team, in collaboration with the UCLA Water Technology Research (WaTeR) Center, is currently carrying out specific studies to test the performance of the new membrane's fouling properties under field conditions.
""We work directly with industry and water agencies on everything that we're doing here in water technology,"" Cohen said. ""The reason for this is simple: If we are to accelerate the transfer of knowledge technology from the university to the real world, where those solutions are needed, we have to make sure we address the real issues. This also provides our students with a tremendous opportunity to work with industry, government and local agencies.""
A paper providing a preliminary introduction to the new membrane also appeared in the Journal of Membrane Science last month.
Published: Thursday, April 08, 2010",4,"The extract provides information on a scientific topic, desalination, and introduces key concepts relevant to school curricula, such as reverse-osmosis membranes and water purification. Although it is coherent and valuable for learning, the content may be too complex for primary school students and lacks exercises or solutions. The writing style is clear, but the subject matter is more suited for upper grade school or high school levels.

Educational score: 4",KEEP,
"Not Just for Kids
The Hunt for Falling Leaves...
Nature's Color on the Ground
by Mary Catherine Ball
Being a reporter, I am always looking for an adventure. Last week, I found one.
I left work to go on a simple journey, but it turned out to be much more.
First, I crossed a mud-ridden stream. Then, I came face to face with flying creatures, fighting to get near me. I even endured webmakers spinning my hair into a shiny maze.
Where did I go? Into the woods, of course. Why? I wanted to gather some fallen leaves.
My luck was good that day. I was able to spy lots of different kinds of leaves lying on the ground. Some were leaves I had never seen. Some were still green, while others were changing to their autumn colors.
Have you ever hunted for leaves? I wonder if you know the names of five of the trees that live in your neighborhood? I bet the answer is no.
Well, me neither. So I had five of the leaves analyzed. I had found the leaves from an oak, a beech, a sweet gum tree and more.
Now, I invite you to make this journey.
Narrow body with pointy edges
Narrow body with pointy edges
May grow berries
Good for sap & color
3 distinct leafs
May grow nuts
This is your task...
Travel to the deep, dark woods (in the daylight) to find these 5 leaves. Cut out the page and take it with you. Make sure you can match your discovery with mine. Happy leaf-hunting!
Stone Soup October 9 (11:30am)-Enjoy lunch and a show. After you eat peanut butter & jelly, watch Stone Soup, performed by the Lost Caravan. Lunch is at noon; show starts at 12:30. Chesapeake Music Hall, Off Rt. 50 approaching the Bay Bridge: 410/406-0306.
All Aboard October 9 & 10 (2pm)-Chug a chug to Zany Brainy for train fun. Listen to stories and sing railroad songs. Build your own trains. Ages 3+. Zany Brainy, Annap. Harb. Ctr.: 410/266-1447.
Tiny Tots Fall for Nature Tues. Oct 12 (10:30am-noon) Three- to five-year-olds (and their adult) hike into the woods to hear autumn stories, gather leaves and make a craft. Bring a bag lunch to enjoy w/apple cider @ King's Landing Park, Huntingtown. $3 rsvp: 800/735-2258.
Spooky Stories in the Woods Tues. Oct. 12 (10:30-noon)-Hike with a ranger to a clearing in the woods. Listen to autumn stories and drink warm apple cider. Gather leaves to make a craft. Bring a bag lunch. Kings Landing Park, Huntingtown: 410/535-5327.
Musical Minds Wed. Oct. 13 (4-4:45pm)-Music makes the world go round. So sing, listen to stories and play musical instruments. Ages 2-4. Chesapeake Children's Museum, Festival at Riva. $8.50; rsvp: 410/266-0677.
Nature Designs Deadline Oct. 15-Create your favorite nature scene out of clay or on paper to win prizes. Age categories are 3-5, 6-8 and 9-12 years. Place winners win nature books or statues. All art forms accepted. Take your masterpiece to Wild Bird Center, Annapolis Harbour Center: 410/573-0345.
Tiny Tots get in Touch with Mother Nature Sat. Oct 16 (10-10:30am)
Tiny tots (2-3 w/adult) learn nature by touch, feeling the many different
textures rough and soft in the world around us. @ Battle Creek Cypress Swamp,
Prince Frederick: 800/735-2258.
| Issue 40 |
Volume VII Number 40
October 7-13, 1999
New Bay Times
| Homepage |
| Back to Archives |",3,"The extract provides some educational content, such as encouraging leaf-hunting and nature exploration, but is largely mixed with event listings and promotional material. It introduces key concepts relevant to school curricula, like leaf identification, but lacks coherence and comprehensive educational value. The writing style is easy to follow, but the content is not entirely focused on education.

Educational score: 3",KEEP,
"The Solar and Heliospheric Observatory (SOHO) spacecraft is expected to discover its 1,000TH comet this summer.
The SOHO spacecraft is a joint effort between NASA and the European Space Agency. It has accounted for approximately one-half of all comet discoveries with computed orbits in the history of astronomy.
""Before SOHO was launched, only 16 sun grazing comets had been discovered by space observatories. Based on that experience, who could have predicted SOHO would discover more than 60 times that number, and in only nine years,"" said Dr. Chris St. Cyr. He is senior project scientist for NASA's Living With a Star program at the agency's Goddard Space Flight Center, Greenbelt, Md. ""This is truly a remarkable achievement!""
About 85 percent of the comets SOHO discovered belongs to the Kreutz group of sun grazing comets, so named because their orbits take them very close to Earth's star. The Kreutz sun grazers pass within 500,000 miles of the star's visible surface. Mercury, the planet closest to the sun, is about 36 million miles from the solar surface.
SOHO has also been used to discover three other well-populated comet groups: the Meyer, with at least 55 members; Marsden, with at least 21 members; and the Kracht, with 24 members. These groups are named after the astronomers who suggested the comets are related, because they have similar orbits.
Many comet discoveries were made by amateurs using SOHO images on the Internet. SOHO comet hunters come from all over the world. The United States, United Kingdom, China, Japan, Taiwan, Russia, Ukraine, France, Germany, and Lithuania are among the many countries whose citizens have used SOHO to chase comets.
Almost all of SOHO's comets are discovered using images from its Large Angle and Spectrometric Coronagraph (LASCO) instrument. LASCO is used to observe the faint, multimillion-degree outer atmosphere of the sun, called the corona. A disk in the instrument is used to make an artificial eclipse, blocking direct light from the sun, so the much fainter corona can be seen. Sun grazing comets are discovered when they enter LASCO's field of view as they pass close by the star.
""Building coronagraphs like LASCO is still more art than science, because the light we are trying to detect is very faint,"" said Dr. Joe Gurman, U.S. project scientist for SOHO at Goddard. ""Any imperfections in the optics or dust in the instrument will scatter the light, making the images too noisy to be useful. Discovering almost 1,000 comets since SOHO's launch on December 2, 1995 is a testament to the skill of the LASCO team.""
SOHO successfully completed its primary mission in April 1998. It has enough fuel to remain on station to keep hunting comets for decades if the LASCO continues to function.
For information about SOHO on the Internet, visit:
Explore further: Long-term warming, short-term variability: Why climate change is still an issue",5,"The extract provides valuable information about the SOHO spacecraft, comet discoveries, and astronomy, making it relevant for educational purposes. It introduces key concepts, is well-structured, and coherent, with minimal irrelevant information. The content is suitable for grade school students, offering substantial educational value and insights into the subject matter.

Educational score: 5",KEEP,
"Bolivia: Coca-chewing protest outside US embassy
Indigenous activists in Bolivia have been holding a mass coca-chewing protest as part of campaign to end an international ban on the practice.
Hundreds of people chewed the leaf outside the US embassy in La Paz and in other cities across the country.
Bolivia wants to amend a UN drugs treaty that bans chewing coca, which is an ancient tradition in the Andes.
But the US has said it will veto the amendment because coca is also the raw material for making cocaine.
The protesters outside the US embassy also displayed products made from coca, including soft drinks, toothpaste, sweets and ointments.
They were supporting a Bolivian government campaign to amend the 1961 UN Single Convention on Narcotic Drugs to remove language that bans the chewing of coca leaf.
The convention stipulates that coca-chewing be eliminated within 25 years of the convention coming into effect in 1964.
Bolivia says that is discriminatory, given that coca use is so deeply rooted in the indigenous culture of the Andes.Eradication
The US is opposed to changing the UN convention because it says it would weaken the fight against cocaine production.
In a statement, the US embassy said Washington recognised coca-chewing as a ""traditional custom"" of Bolivia's indigenous peoples but could not support the amendment.
""The position of the US government in not supporting the amendment is based on the importance of maintaining the integrity of the UN convention, which is an important tool in the fight against drug-trafficking,"" it said.
The US is the world's largest consumer of cocaine and has been leading efforts to eradicate coca production in the Andes for decades.
Bolivia is the world's first biggest producer of cocaine after Peru and Colombia, and much of its coca crop is used to make the illegal drug.
Bolivian President Evo Morales has long advocated the recognition of coca as a plant of great medicinal, cultural and religious importance that is distinct from cocaine.
As well as being Bolivia's first indigenous head of state, Mr Morales is also a former coca-grower and leader of a coca-growers trade union.
The Bolivian amendment would come into effect on 31 January only if there were no objections.",3,"The extract provides information on a current event related to cultural and social issues, making it somewhat relevant for educational purposes. However, it lacks a clear educational structure and focuses on a complex topic that may not be suitable for primary or grade school levels. The content is coherent but not comprehensive, and its relevance to school curricula is limited.

Educational score: 3",KEEP,
"Breaking the COX code
Using the team approach
Editor’s Note: This story, first published in 2004, has been updated.
Prostaglandins, which were first isolated from the prostate gland in 1936, are very rapidly metabolized, or broken down, making measurement in the blood difficult. Researchers at Vanderbilt led by John Oates, M.D., developed methods for measuring levels of prostaglandin metabolites (breakdown products) in the urine using mass spectrometry.
Using this technique, the research team—which by the late 1970s included L. Jackson Roberts, M.D.—identified prostaglandin D2 as a product of the human mast cell and demonstrated its release during allergic asthma.
With colleagues including Garret A. FitzGerald, M.D., now chair of Pharmacology at the University of Pennsylvania, Oates and Roberts showed that low doses of aspirin blocked the production of thromboxane, a prostaglandin made by platelets that causes blood clotting and constriction of blood vessels. Their findings supported the use of low dose aspirin to prevent heart attacks.
In the early 1990s, Vanderbilt researchers led by Ray DuBois, M.D., Ph.D., discovered a link between the COX-2 enzyme and colon cancer. That work helped lead to current tests of COX-2 inhibitors as a potential way to prevent cancer.
In 2004 another group led by the late Jason Morrow, M.D., and David H. Johnson, M.D., director of the Hematology-Oncology division at Vanderbilt, reported that urine levels of a prostaglandin metabolite called PGE-M could predict the effectiveness of a COX-2 inhibitor in patients with non-small cell lung cancer. This suggests, Morrow said in 2004, “that the measurement of these inflammatory ‘mediators’ and their suppression may be useful in the treatment of lung cancer.”
COX enzymes also may play a role in Alzheimer’s disease. In addition to prostaglandins, the COX pathway can lead to the production of highly reactive molecular compounds called levuglandins, which, in turn, can form “adducts,” or irreversible attachments to proteins that may be toxic to nerve cells.
Also in 2004, Oates and his colleagues at Vanderbilt and Johns Hopkins University reported that they found a 12-fold increase in the level of adducts in the brains of patients who had Alzheimer’s disease compared to age-matched control brains.
“These are the first clear data showing that COX products are elevated in the brains of patients with Alzheimer’s disease,” says Oates, Thomas F. Frist Professor of Medicine and professor of Pharmacology.
Vanderbilt currently is participating in a national trial to see if long-term use of COX inhibitors will reduce the incidence of the disease.",3,"The extract provides information on prostaglandins, COX enzymes, and their relation to various diseases, making it relevant for educational purposes. It introduces key concepts and is coherent, but its complexity and focus on advanced research may limit its suitability for primary school or grade school levels. The content is valuable but may require adaptation for younger students.

Educational score: 3",KEEP,
"Discover the cosmos! Each day a different image or photograph of our fascinating universe is featured, along with a brief explanation written by a professional astronomer.
2012 June 23
Explanation: As seen from Frösön island in northern Sweden the Sun did set a day after the summer solstice. From that location below the arctic circle it settled slowly behind the northern horizon. During the sunset's final minute, this remarkable sequence of 7 images follows the distorted edge of the solar disk as it just disappears against a distant tree line, capturing both a green and blue flash. Not a myth even in a land of runes, the colorful but elusive glints are caused by atmospheric refraction enhanced by long, low, sight lines and strong atmospheric temperature gradients.
Authors & editors:
Jerry Bonnell (UMCP)
NASA Official: Phillip Newman Specific rights apply.
A service of: ASD at NASA / GSFC
& Michigan Tech. U.",4,"The extract provides educational content related to astronomy, specifically sunset phenomena and atmospheric refraction. It introduces key concepts relevant to school curricula, is coherent, and features a clear writing style. Although it may not be comprehensive or include exercises, it is suitable for learning and relevant for grade school students.

Educational score: 4",KEEP,
"Network With Us
Join us on Facebook to get the latest news and updates.
Lauren Boulden's Story
Using Think-Alouds to Get Inside Langston Hughes' Head
Over my past few years of teaching, there have been multiple occasions where I have been stumped on how to present a particular concept to my students. I've always been able to turn to ReadWriteThink.org for hands-on, engaging lessons. For example, I knew I wanted my students to develop their skills when it came to interacting with text, particularly with poetry. While searching through the myriad options on ReadWriteThink, I came upon ""Building Reading Comprehension Through Think-Alouds.""
At first, I planned to use the lesson exactly as written: Read Langston Hughes's poem ""Dream Variation"" and model a think-aloud with students; then have the students try their hand at some think-alouds using other poetry. After working out all of the details, I realized I could develop some additional skills, which would fit perfectly into the scope and sequence of my class. After completing the think-aloud to ""Dream Variation,"" I broke students into selected groups. Each group was given a different Langston Hughes poem and asked to complete a think-aloud. The next day, the students were put into a new jigsaw group where they were solely responsible for sharing what their Langston Hughes poem conveyed. Based on the meanings behind their group mates' poems, along with using the knowledge of both their poem and ""Dream Variation,"" students were asked to figure out who Langston Hughes was as a man. What did he stand for? What were his beliefs? What did he want out of life? Students used clues from the various poems to fill in a head-shaped graphic organizer to depict their understanding of who Hughes could be. This simple lesson of working with poems and think-alouds turned into a few days of group communication, text deciphering, inferences, and even an author study!
Without great lessons available on ReadWriteThink.org, such as ""Building Reading Comprehension Through Think-Alouds,"" my students would never have been able to tackle so many key reading strategies in such a short amount of time.
Grades 6 – 8 | Lesson Plan | Standard Lesson
Students learn components of think-alouds and type-of-text interactions through teacher modeling. In the process, students develop the ability to use think-alouds to aid in reading comprehension tasks.
Lauren describes how she used ReadWriteThink in her classroom.
I have been teaching seventh- and eighth-grade language arts in Delaware for the past five years. I grew up in Long Island, New York, but have called Delaware my home since completing my undergraduate and master’s work at the University of Delaware. Teaching and learning have become my prime passions in life, which is why my days are spent teaching English, directing plays, organizing the school newspaper, and teaching yoga in the evenings.",5,"The extract provides valuable information on teaching reading comprehension through think-alouds, a relevant topic for grade school levels. It introduces key concepts, offers a coherent writing style, and includes a lesson plan, making it highly relevant and beneficial for educational purposes. The content is focused, valuable, and easy to follow, with minimal irrelevant information.

Educational score: 5",KEEP,
